Form__File,Filed,Filing_entityperson
SC 13D/A (Beneficial ownership report) ,2024-12-12,"Invesco Trust for Investment Grade New York Municipals  (VTN)  Saba Capital Management, L.P. "
SC 13G (Beneficial ownership report) ,2024-12-12,Hongli Group Inc.  (HLP)  Zhang Huizhi 
SC 13G (Beneficial ownership report) ,2024-12-12,"PMV Pharmaceuticals, Inc.  (PMVP)  BML Investment Partners, L.P. "
SC 13G (Beneficial ownership report) ,2024-12-12,"Shepherd Ave Capital Acquisition Corp  (SPHA, SPHAU)  Space Summit Capital LLC "
SC 13D/A (Beneficial ownership report) ,2024-12-12,Fidelity Multi-Strategy Credit Fund  FMR LLC 
SC 13D/A (Beneficial ownership report) ,2024-12-12,"Thunder Bridge Capital Partners IV, Inc.  (THCP, THCPU, THCPW)  Simanson Gary A "
SC 13D/A (Beneficial ownership report) ,2024-12-12,"Prospect Floating Rate & Alternative Income Fund, Inc. "
SC 13D/A (Beneficial ownership report) ,2024-12-12,PUTNAM PREMIER INCOME TRUST  (PPT)  SIT INVESTMENT ASSOCIATES INC 
SC 13D/A (Beneficial ownership report) ,2024-12-12,"nCino, Inc.  (NCNO)  Insight Venture Partners X, L.P. "
SC 13D/A (Beneficial ownership report) ,2024-12-12,Franklin BSP Real Estate Debt BDC  FRANKLIN RESOURCES INC 
SC 13G (Beneficial ownership report) ,2024-12-12,"ASTRONICS CORP  (ATRO, ATROB)  ACK Asset Management LLC "
SC 13D/A (Beneficial ownership report) ,2024-12-12,"CF BANKSHARES INC.  (CFBK)  Castle Creek Capital Partners VII, LP "
SC 13D/A (Beneficial ownership report) ,2024-12-12,"Amer Sports, Inc.  (AS)  Wilson Dennis J. "
SC 13G (Beneficial ownership report) ,2024-12-12,"Great Elm Capital Corp.  (GECC, GECCH, GECCI, GECCO, GECCZ)  Summit Grove Partners, LLC "
SC 13D/A (Beneficial ownership report) ,2024-12-12,PSYCHEMEDICS CORP  (PMD)  Kamin Peter 
SC 13D/A (Beneficial ownership report) ,2024-12-12,"Kaival Brands Innovations Group, Inc.  (KAVL)  Kaival Holdings, LLC "
SC 13D/A (Beneficial ownership report) ,2024-12-12,"BriaCell Therapeutics Corp.  (BCTX, BCTXW)  L5 Capital Inc. "
SC 13D/A (Beneficial ownership report) ,2024-12-12,"MoneyLion Inc.  Edison Partners VIII, LP "
SC 13D/A (Beneficial ownership report) ,2024-12-12,GigaCloud Technology Inc  (GCT)  DCM IV L P 
SC 13D/A (Beneficial ownership report) ,2024-12-12,"Skillz Inc.  (SKLZ)  Wildcat Capital Management, LLC "
SC 13D/A (Beneficial ownership report) ,2024-12-12,"Frontier Communications Parent, Inc.  (FYBR)  ARES MANAGEMENT LLC "
SC 13D/A (Beneficial ownership report) ,2024-12-12,"DSS, INC.  (DSS)  Chan Heng Fai Ambrose "
SC 13G/A (Beneficial ownership report) ,2024-12-12,iCoreConnect Inc.  (ICCT)  Fundamental Global Inc. 
SCHEDULE 13G (Schedule filed by certain investors to report beneficial ownership of more than 5% of a class of equity securities) ,2024-12-12,MAYS J W INC  (MAYS)  Kemper Goldman Diane 
SC 13D/A (Beneficial ownership report) ,2024-12-12,"Semler Scientific, Inc.  (SMLR)  Murphy-Chutorian Douglas "
SC 13G/A (Beneficial ownership report) ,2024-12-12,"Evolv Technologies Holdings, Inc.  (EVLV, EVLVW)  Stoic Point Capital Management LLC "
SC 13D/A (Beneficial ownership report) ,2024-12-12,"Paramount Global  (PARA, PARAA)  GAMCO INVESTORS, INC. ET AL "
SC 13G (Beneficial ownership report) ,2024-12-12,"Torrid Holdings Inc.  (CURV)  Fund 1 Investments, LLC "
SC 13D/A (Beneficial ownership report) ,2024-12-12,Lucid Diagnostics Inc.  (LUCD)  PAVmed Inc. 
SC 13D/A (Beneficial ownership report) ,2024-12-12,Atlantica Sustainable Infrastructure plc  (AY)  ALGONQUIN POWER & UTILITIES CORP. 
SCHEDULE 13G (Schedule filed by certain investors to report beneficial ownership of more than 5% of a class of equity securities) ,2024-12-12,"Couchbase, Inc.  (BASE)  EVR Research LP "
SC 13G/A (Beneficial ownership report) ,2024-12-12,CHEETAH NET SUPPLY CHAIN SERVICE INC.  (CTNT)  Grand Bright International Holdings Ltd 
SC 13G (Beneficial ownership report) ,2024-12-12,"PSQ Holdings, Inc.  (PSQH, PSQH-WT)  CVI Investments, Inc. "
SC 13D/A (Beneficial ownership report) ,2024-12-12,"SentinelOne, Inc.  (S)  Insight Venture Partners X, L.P. "
SC 13D/A (Beneficial ownership report) ,2024-12-12,"Invesco Pennsylvania Value Municipal Income Trust  (VPV)  Saba Capital Management, L.P. "
SC 13D/A (Beneficial ownership report) ,2024-12-12,"Invivyd, Inc.  (IVVD)  Polaris Venture Partners V, L.P. "
SC 13D/A (Beneficial ownership report) ,2024-12-12,QUAKER CHEMICAL CORP  (KWR)  Gulf Hungary Holding Korlatolt Felelossegu Tarsasag 
SC 13D/A (Beneficial ownership report) ,2024-12-12,Eaton Vance New York Municipal Bond Fund  (ENX)  SIT INVESTMENT ASSOCIATES INC 
SC 13D/A (Beneficial ownership report) ,2024-12-12,"Ranger Energy Services, Inc.  (RNGR)  Bayou Well Holdings Company, LLC "
SC 13G/A (Beneficial ownership report) ,2024-12-12,EXAGEN INC.  (XGN)  Hunt Holdings Limited Partnership 
SC 13G/A (Beneficial ownership report) ,2024-12-12,PolyPid Ltd.  (PYPD)  Lukach Aharon 
SC 13G/A (Beneficial ownership report) ,2024-12-12,"Designer Brands Inc.  (DBI)  Stone House Capital Management, LLC "
SC 13G (Beneficial ownership report) ,2024-12-12,Hongli Group Inc.  (HLP)  Jiang Zhicheng 
SC 13D/A (Beneficial ownership report) ,2024-12-12,"NEW GERMANY FUND INC  (GF)  Saba Capital Management, L.P. "
SC 13D/A (Beneficial ownership report) ,2024-12-12,"BigBear.ai Holdings, Inc.  (BBAI, BBAI-WT)  BBAI Ultimate Holdings, LLC "
SC 13G (Beneficial ownership report) ,2024-12-12,Hongli Group Inc.  (HLP)  Pau Hung To 
SC 13D/A (Beneficial ownership report) ,2024-12-12,CARVER BANCORP INC  (CARV)  Dream Chasers Capital Group LLC 
SC 13G/A (Beneficial ownership report) ,2024-12-11,"Quipt Home Medical Corp.  (QIPT)  Forager Fund, L.P. "
SC 13G (Beneficial ownership report) ,2024-12-11,"Olema Pharmaceuticals, Inc.  (OLMA)  Bain Capital Life Sciences Opportunities IV, L.P. "
SC 13D/A (Beneficial ownership report) ,2024-12-11,"DAKTRONICS INC /SD/  (DAKT)  Alta Fox Opportunities Fund, LP "
SC 13D/A (Beneficial ownership report) ,2024-12-11,"abrdn Global Infrastructure Income Fund  (ASGI)  Saba Capital Management, L.P. "
SC 13D (Beneficial ownership report) ,2024-12-11,"Quipt Home Medical Corp.  (QIPT)  Forager Fund, L.P. "
SC 13G/A (Beneficial ownership report) ,2024-12-11,"Landsea Homes Corp  (LSEA, LSEAW)  CHEN HUAIJUN "
SC 13G (Beneficial ownership report) ,2024-12-11,"Quipt Home Medical Corp.  (QIPT)  Forager Fund, L.P. "
SC 13G/A (Beneficial ownership report) ,2024-12-11,"Rubicon Technologies, Inc.  (RBTC, RBTCW)  Guardians of New Zealand Superannuation "
SC 13D/A (Beneficial ownership report) ,2024-12-11,BranchOut Food Inc.  (BOF)  Kaufman Kapital LLC 
SCHEDULE 13G (Schedule filed by certain investors to report beneficial ownership of more than 5% of a class of equity securities) ,2024-12-11,"Rivulet Entertainment, Inc.  (RIVF)  Brooks Koepka Trust "
SC 13D/A (Beneficial ownership report) ,2024-12-11,Allied Gaming & Entertainment Inc.  (AGAE)  Ourgame International Holdings Ltd 
SC 13D/A (Beneficial ownership report) ,2024-12-11,Nuveen Quality Municipal Income Fund  (NAD)  WELLS FARGO & COMPANY/MN 
SC 13G (Beneficial ownership report) ,2024-12-11,enCore Energy Corp.  (EU)  MMCAP International Inc. SPC 
SC 13G/A (Beneficial ownership report) ,2024-12-11,"Fusion Fuel Green PLC  (HTOO, HTOOW)  MAK CAPITAL ONE LLC "
SCHEDULE 13G (Schedule filed by certain investors to report beneficial ownership of more than 5% of a class of equity securities) ,2024-12-11,MAYS J W INC  (MAYS)  GOLDMAN JANE H 
SC 13D/A (Beneficial ownership report) ,2024-12-11,Mega Matrix Inc  (MPU)  Hu Yucheng 
SC 13D/A (Beneficial ownership report) ,2024-12-11,"Landsea Homes Corp  (LSEA, LSEAW)  LANDSEA HOLDINGS CORP "
SC 13G (Beneficial ownership report) ,2024-12-11,Neurogene Inc.  (NGNE)  COMMODORE CAPITAL LP 
SC 13D/A (Beneficial ownership report) ,2024-12-11,"Finance of America Companies Inc.  (FOA, FOACW)  Bloom Retirement Holdings Inc. "
SC 13D/A (Beneficial ownership report) ,2024-12-11,"Apollo Global Management, Inc.  (APO, APOS, APO-PA)  ROWAN MARC J "
SC 13D/A (Beneficial ownership report) ,2024-12-11,"Samsara Inc.  (IOT)  Andreessen Horowitz Fund IV, L.P. "
SC 13D/A (Beneficial ownership report) ,2024-12-11,iClick Interactive Asia Group Ltd  (ICLK)  Tang Jian 
SC 13D/A (Beneficial ownership report) ,2024-12-10,"Global Gas Corp  (HGAS, HGASW)  Dune Acquisition Holdings LLC "
SC 13D (Beneficial ownership report) ,2024-12-10,"Nordicus Partners Corp  (NORD, NORDD)  AC Nordic ApS "
SC 13G/A (Beneficial ownership report) ,2024-12-10,"Blade Air Mobility, Inc.  (BLDE, BLDEW)  ARK Investment Management LLC "
SC 13D (Beneficial ownership report) ,2024-12-10,"Nordicus Partners Corp  (NORD, NORDD)  ABCHill Holding ApS "
SC 13D/A (Beneficial ownership report) ,2024-12-10,"Custom Truck One Source, Inc.  (CTOS)  ECP ControlCo, LLC "
SC 13D/A (Beneficial ownership report) ,2024-12-10,"SMITH MIDLAND CORP  (SMID)  THOMPSON DAVIS & CO., INC. "
SC 13G (Beneficial ownership report) ,2024-12-10,"Morningstar, Inc.  (MORN)  Mansueto Daniel "
SC 13D/A (Beneficial ownership report) ,2024-12-10,"BriaCell Therapeutics Corp.  (BCTX, BCTXW)  L5 Capital Inc. "
SC 13D/A (Beneficial ownership report) ,2024-12-10,"RumbleOn, Inc.  (RMBL)  Tkach Mark "
SC 13D/A (Beneficial ownership report) ,2024-12-10,"New Mountain Guardian IV Income Fund, L.L.C.  New Mountain Guardian IV Income Rated Feeder II, Ltd. "
SC 13D (Beneficial ownership report) ,2024-12-10,"Abacus Life, Inc.  (ABL, ABLLL, ABLLW)  Pillo Portsmouth Holding Company, LLC "
SCHEDULE 13G (Schedule filed by certain investors to report beneficial ownership of more than 5% of a class of equity securities) ,2024-12-10,"PACIFIC BIOSCIENCES OF CALIFORNIA, INC.  (PACB)  MILLENNIUM MANAGEMENT LLC "
SC 13G (Beneficial ownership report) ,2024-12-10,Medirom Healthcare Technologies Inc.  (MRM)  Triple One Investment Partnership 
SC 13D/A (Beneficial ownership report) ,2024-12-10,"MONEYLION INC.  (ML, ML-WT)  Edison Partners VIII, LP "
SC 13D/A (Beneficial ownership report) ,2024-12-10,"ReNew Energy Global plc  (RNW, RNWWW)  CANADA PENSION PLAN INVESTMENT BOARD "
SC 13D/A (Beneficial ownership report) ,2024-12-10,"ReNew Energy Global plc  (RNW, RNWWW)  Sinha Sumant "
SC 13D/A (Beneficial ownership report) ,2024-12-10,"BigBear.ai Holdings, Inc.  (BBAI, BBAI-WT)  BBAI Ultimate Holdings, LLC "
SC 13G/A (Beneficial ownership report) ,2024-12-10,"Gores Holdings IX, Inc.  (GHIX, GHIXU, GHIXW)  MOORE CAPITAL MANAGEMENT, LP "
SC 13D/A (Beneficial ownership report) ,2024-12-10,"Nordicus Partners Corp  (NORD, NORDD)  GK Partners ApS "
SC 13D/A (Beneficial ownership report) ,2024-12-10,ESTEE LAUDER COMPANIES INC  (EL)  LAUDER AERIN 
SC 13D/A (Beneficial ownership report) ,2024-12-10,"Amer Sports, Inc.  (AS)  ANLLIAN Sports Products Ltd "
SC 13G (Beneficial ownership report) ,2024-12-10,"Paymentus Holdings, Inc.  (PAY)  GIC Private Ltd "
SC 13D (Beneficial ownership report) ,2024-12-10,"FIRST SOLAR, INC.  (FSLR)  EBRAHIMI FARHAD FRED "
SC 13G (Beneficial ownership report) ,2024-12-10,"Algorhythm Holdings, Inc.  (RIME)  Ionic Ventures, LLC "
SC 13D/A (Beneficial ownership report) ,2024-12-10,"Nordicus Partners Corp  (NORD, NORDD)  Alteral Therapeutics ApS "
SC 13G (Beneficial ownership report) ,2024-12-10,"Tavia Acquisition Corp.  (TAVI, TAVIU)  Harraden Circle Investments, LLC "
SC 13D (Beneficial ownership report) ,2024-12-10,DAVIS COMMODITIES Ltd  (DTCK)  Leck Li Peng 
SC 13D/A (Beneficial ownership report) ,2024-12-10,"New Mountain Guardian IV BDC, L.L.C.  New Mountain Guardian IV Rated Feeder III, Ltd. "
SC 13D/A (Beneficial ownership report) ,2024-12-10,"Great Elm Group, Inc.  (GEG, GEGGL)  Northern Right Capital Management, L.P. "
SC 13D/A (Beneficial ownership report) ,2024-12-10,Hamilton Beach Brands Holding Co  (HBB)  RANKIN ALFRED M ET AL 
SC 13D/A (Beneficial ownership report) ,2024-12-10,"ReNew Energy Global plc  (RNW, RNWWW)  Abu Dhabi Investment Authority "
SCHEDULE 13G (Schedule filed by certain investors to report beneficial ownership of more than 5% of a class of equity securities) ,2024-12-10,"Zentalis Pharmaceuticals, Inc.  (ZNTL)  Walters William T "
SC 13D/A (Beneficial ownership report) ,2024-12-10,"Enservco Corp  (ENSV)  Star Equity Fund, LP "
SC 13D/A (Beneficial ownership report) ,2024-12-10,"Power REIT  (PW, PW-PA)  Axonic Capital LLC "
SC 13G (Beneficial ownership report) ,2024-12-10,GRUPO FINANCIERO GALICIA SA  (GGAL)  HSBC HOLDINGS PLC 
SC 13D/A (Beneficial ownership report) ,2024-12-10,"Arqit Quantum Inc.  (ARQQ, ARQQW)  D2BW Ltd "
SC 13D/A (Beneficial ownership report) ,2024-12-10,"BeiGene, Ltd.  (BGNE, BEIGF)  BAKER BROS. ADVISORS LP "
SC 13D/A (Beneficial ownership report) ,2024-12-10,"SYLA Technologies Co., Ltd.  (SYT)  Sugimoto Hiroyuki "
SC 13D/A (Beneficial ownership report) ,2024-12-10,"New Mountain Guardian IV BDC, L.L.C.  New Mountain Guardian Investments IV, L.L.C. "
SC 13D/A (Beneficial ownership report) ,2024-12-10,"Alight, Inc. / Delaware  (ALIT)  Starboard Value LP "
SC 13D/A (Beneficial ownership report) ,2024-12-10,ORGANIGRAM HOLDINGS INC.  (OGI)  BT DE Investments Inc. 
SC 13G (Beneficial ownership report) ,2024-12-10,"Frontier Communications Parent, Inc.  (FYBR)  Cerberus Capital Management, L.P. "
SC 13G/A (Beneficial ownership report) ,2024-12-10,CRISPR Therapeutics AG  (CRSP)  ARK Investment Management LLC 
SC 13D/A (Beneficial ownership report) ,2024-12-10,"New Mountain Guardian IV BDC, L.L.C.  New Mountain Guardian IV Rated Feeder I, LTD "
SC 13D/A (Beneficial ownership report) ,2024-12-09,"United Homes Group, Inc.  (UHG, UHGWW)  Conversant Capital LLC "
SC 13G (Beneficial ownership report) ,2024-12-09,"Oculis Holding AG  (OCS, OCSAW)  Pivotal bioVenture Partners Fund I, L.P. "
SC 13G (Beneficial ownership report) ,2024-12-09,"CBL & ASSOCIATES PROPERTIES INC  (CBL)  OCM Xb CBL-E Holdings, LLC "
SC 13G/A (Beneficial ownership report) ,2024-12-09,"Blue Ocean Acquisition Corp  (BOCN, BOCNU, BOCNW)  Blue Ocean Sponsor LLC "
SC 13D/A (Beneficial ownership report) ,2024-12-09,"Grindr Inc.  (GRND, GRND-WT)  Lu James Fu Bin "
SC 13G (Beneficial ownership report) ,2024-12-09,"Eton Pharmaceuticals, Inc.  (ETON)  EcoR1 Capital, LLC "
SC 13D/A (Beneficial ownership report) ,2024-12-09,"Anterix Inc.  (ATEX)  Owl Creek Asset Management, L.P. "
SC 13D (Beneficial ownership report) ,2024-12-09,"TechTarget, Inc.  INFORMA PLC "
SC 13D (Beneficial ownership report) ,2024-12-09,MAYS J W INC  (MAYS)  Gurney-Goldman Steven 
SC 13D/A (Beneficial ownership report) ,2024-12-09,"Xos, Inc.  (XOS, XOSWW)  Semler Dakota "
SC 13D/A (Beneficial ownership report) ,2024-12-09,"Invesco Municipal Opportunity Trust  (VMO)  Saba Capital Management, L.P. "
SC 13G (Beneficial ownership report) ,2024-12-09,TOWER SEMICONDUCTOR LTD  (TSEM)  MENORA MIVTACHIM HOLDINGS LTD. 
SC 13D/A (Beneficial ownership report) ,2024-12-09,"TENARIS SA  (TS, TNRSF)  SAN FAUSTIN S.A. "
SC 13D/A (Beneficial ownership report) ,2024-12-09,"Puerto Rico Residents Tax-Free Fund IV, Inc.  Ocean Capital LLC "
SC 13D/A (Beneficial ownership report) ,2024-12-09,"LEXICON PHARMACEUTICALS, INC.  (LXRX)  Invus, L.P. "
SCHEDULE 13G (Schedule filed by certain investors to report beneficial ownership of more than 5% of a class of equity securities) ,2024-12-09,"Glimpse Group, Inc.  (VRAR)  Grossman Bruce "
SC 13D/A (Beneficial ownership report) ,2024-12-09,"Research Solutions, Inc.  (RSSS)  Derycz Peter "
SC 13D/A (Beneficial ownership report) ,2024-12-09,"ModivCare Inc  (MODV)  Q Global Capital Management, L.P. "
SC 13G/A (Beneficial ownership report) ,2024-12-09,"TechnipFMC plc  (FTI)  T. Rowe Price Investment Management, Inc. "
SC 13D/A (Beneficial ownership report) ,2024-12-09,"Bold Eagle Acquisition Corp.  (BEAG, BEAGU)  Eagle Equity Partners IV, LLC "
SCHEDULE 13G (Schedule filed by certain investors to report beneficial ownership of more than 5% of a class of equity securities) ,2024-12-09,"Zevia PBC  (ZVIA)  Tallwoods Investments, LLC "
SC 13D/A (Beneficial ownership report) ,2024-12-09,"Wheeler Real Estate Investment Trust, Inc.  (WHLR, WHLRD, WHLRL, WHLRP)  STILWELL JOSEPH "
SC 13D (Beneficial ownership report) ,2024-12-09,Signature Bank Corp  Namdar Family Holding LLC 
SC 13D/A (Beneficial ownership report) ,2024-12-09,"Puerto Rico Residents Tax-Free Fund, Inc.  Ocean Capital LLC "
SC 13D/A (Beneficial ownership report) ,2024-12-09,"Eaton Vance California Municipal Bond Fund  (EVM)  Saba Capital Management, L.P. "
SC 13D/A (Beneficial ownership report) ,2024-12-09,"LAZARD GLOBAL TOTAL RETURN & INCOME FUND INC  (LGI)  Saba Capital Management, L.P. "
SC 13D/A (Beneficial ownership report) ,2024-12-09,Healthcare Realty Trust Inc  (HR)  Starboard Value LP 
SC 13G/A (Beneficial ownership report) ,2024-12-09,Generation Bio Co.  (GBIO)  BB BIOTECH AG 
SC 13D/A (Beneficial ownership report) ,2024-12-09,"Serina Therapeutics, Inc.  (SER)  Juvenescence Ltd "
SC 13D/A (Beneficial ownership report) ,2024-12-09,"Doma Holdings, Inc.  Foundation Capital VIII, L.P. "
SC 13D/A (Beneficial ownership report) ,2024-12-09,Li-Cycle Holdings Corp.  (LICY)  Glencore plc 
SC 13G (Beneficial ownership report) ,2024-12-09,"Sotherly Hotels Inc.  (SOHO, SOHOB, SOHON, SOHOO)  Gator Capital Management, LLC "
SC 13G/A (Beneficial ownership report) ,2024-12-09,"UPWORK, INC  (UPWK)  PRICE T ROWE ASSOCIATES INC /MD/ "
SC 13D/A (Beneficial ownership report) ,2024-12-09,Pactiv Evergreen Inc.  (PTVE)  Packaging Finance Ltd 
SC 13D/A (Beneficial ownership report) ,2024-12-09,"Nuveen Multi-Asset Income Fund  (NMAI)  Saba Capital Management, L.P. "
SC 13D/A (Beneficial ownership report) ,2024-12-09,"Weave Communications, Inc.  (WEAV)  CROSSLINK CAPITAL INC "
SC 13D/A (Beneficial ownership report) ,2024-12-09,"NUVEEN NEW JERSEY QUALITY MUNICIPAL INCOME FUND  (NXJ)  Saba Capital Management, L.P. "
SC 13D/A (Beneficial ownership report) ,2024-12-09,"Marpai, Inc.  (MRAI)  EITAN YARON "
SC 13D/A (Beneficial ownership report) ,2024-12-09,"InfuSystem Holdings, Inc  (INFU)  SANSONE ADVISORS, LLC "
SC 13G (Beneficial ownership report) ,2024-12-09,"Concentra Group Holdings Parent, Inc.  (CON, CON-WI)  PRICE T ROWE ASSOCIATES INC /MD/ "
SC 13G/A (Beneficial ownership report) ,2024-12-09,ADVANCE AUTO PARTS INC  (AAP)  PRICE T ROWE ASSOCIATES INC /MD/ 
SC 13D/A (Beneficial ownership report) ,2024-12-09,ESTEE LAUDER COMPANIES INC  (EL)  Lauder Jane A. Trust u/a/d 11/6/2003 
SC 13G (Beneficial ownership report) ,2024-12-09,"Liberty Media Corp  (FWONA, FWONB, FWONK, LLYVA, LLYVB, LLYVK)  T. Rowe Price Investment Management, Inc. "
SC 13D/A (Beneficial ownership report) ,2024-12-09,ESTEE LAUDER COMPANIES INC  (EL)  LAUDER JANE 
SC 13G (Beneficial ownership report) ,2024-12-09,"Inozyme Pharma, Inc.  (INZY)  Affinity Asset Advisors, LLC "
SC 13G/A (Beneficial ownership report) ,2024-12-09,Verrica Pharmaceuticals Inc.  (VRCA)  PERCEPTIVE ADVISORS LLC 
SC 13G (Beneficial ownership report) ,2024-12-09,"Cidara Therapeutics, Inc.  (CDTX)  Vivo Opportunity Fund Holdings, L.P. "
SC 13D/A (Beneficial ownership report) ,2024-12-09,"Xos, Inc.  (XOS, XOSWW)  Sordoni Giordano "
SC 13G (Beneficial ownership report) ,2024-12-09,"NeuroSense Therapeutics Ltd.  (NRSN, NRSNW)  Rimon Gold Assets Ltd "
SC 13D/A (Beneficial ownership report) ,2024-12-09,QUAKER CHEMICAL CORP  (KWR)  Gulf Hungary Holding Korlatolt Felelossegu Tarsasag 
SC 13D/A (Beneficial ownership report) ,2024-12-09,"Frontier Communications Parent, Inc.  (FYBR)  Cerberus Capital Management, L.P. "
SC 13D/A (Beneficial ownership report) ,2024-12-09,StealthGas Inc.  (GASS)  TOWERVIEW LLC 
SC 13D/A (Beneficial ownership report) ,2024-12-09,Lufax Holding Ltd  (LU)  AnKe Technology Co Ltd 
SC 13G/A (Beneficial ownership report) ,2024-12-09,"ASSURANT, INC.  (AIZ, AIZN)  T. Rowe Price Investment Management, Inc. "
SC 13G (Beneficial ownership report) ,2024-12-09,"OneStream, Inc.  (OS)  Baranowski Matthew "
SC 13G/A (Beneficial ownership report) ,2024-12-09,"PSYENCE BIOMEDICAL LTD.  (PBM, PBMWW)  Harraden Circle Investments, LLC "
SC 13G/A (Beneficial ownership report) ,2024-12-09,Oncocyte Corp  (OCX)  SMITH PATRICK W 
SC 13D/A (Beneficial ownership report) ,2024-12-09,"Enviva Inc.  (EVVAQ)  Riverstone Echo Continuation Holdings, L.P. "
SC 13G (Beneficial ownership report) ,2024-12-06,AB Private Lending Fund  AXA EQUITABLE FINANCIAL SERVICES LLC 
SC 13G/A (Beneficial ownership report) ,2024-12-06,"Syndax Pharmaceuticals Inc  (SNDX)  BlackRock, Inc. "
SC 13G (Beneficial ownership report) ,2024-12-06,"Fortune Rise Acquisition Corp  (FRLA, FRLAU, FRLAW)  METEORA CAPITAL, LLC "
SCHEDULE 13G/A (Schedule filed by certain investors to report beneficial ownership of more than 5% of a class of equity securities) ,2024-12-06,"Zentalis Pharmaceuticals, Inc.  (ZNTL)  FMR LLC "
SCHEDULE 13G/A (Schedule filed by certain investors to report beneficial ownership of more than 5% of a class of equity securities) ,2024-12-06,Mereo BioPharma Group plc  (MREO)  JANUS HENDERSON GROUP PLC 
SCHEDULE 13G/A (Schedule filed by certain investors to report beneficial ownership of more than 5% of a class of equity securities) ,2024-12-06,"Janus International Group, Inc.  (JBI)  FMR LLC "
SC 13G/A (Beneficial ownership report) ,2024-12-06,"CNH Industrial N.V.  (CNH)  BlackRock, Inc. "
SC 13G/A (Beneficial ownership report) ,2024-12-06,"MGIC INVESTMENT CORP  (MTG)  BlackRock, Inc. "
SC 13D/A (Beneficial ownership report) ,2024-12-06,"Tuniu Corp  (TOUR)  JD.com, Inc. "
SCHEDULE 13G/A (Schedule filed by certain investors to report beneficial ownership of more than 5% of a class of equity securities) ,2024-12-06,Nuvei Corp  FIL Ltd 
SCHEDULE 13G/A (Schedule filed by certain investors to report beneficial ownership of more than 5% of a class of equity securities) ,2024-12-06,"Applied Therapeutics, Inc.  (APLT)  JANUS HENDERSON GROUP PLC "
SCHEDULE 13G/A (Schedule filed by certain investors to report beneficial ownership of more than 5% of a class of equity securities) ,2024-12-06,"UNIVERSAL LOGISTICS HOLDINGS, INC.  (ULH)  FMR LLC "
SC 13G/A (Beneficial ownership report) ,2024-12-06,"Clearwater Paper Corp  (CLW)  BlackRock, Inc. "
SC 13G (Beneficial ownership report) ,2024-12-06,"Everus Construction Group, Inc.  (ECG)  BlackRock, Inc. "
SC 13G (Beneficial ownership report) ,2024-12-06,"iSHARES TRUST  BlackRock, Inc. "
SC 13D/A (Beneficial ownership report) ,2024-12-06,Damon Inc.  (DMN)  Giraud Damon Jay 
SC 13G (Beneficial ownership report) ,2024-12-06,VCI Global Ltd  (VCIG)  Abri Advisors Ltd. 
SC 13G (Beneficial ownership report) ,2024-12-06,"Equity Commonwealth  (EQC, EQC-PD)  BlackRock, Inc. "
SC 13G (Beneficial ownership report) ,2024-12-06,"Groupon, Inc.  (GRPN)  Windward Management LP "
SC 13D/A (Beneficial ownership report) ,2024-12-06,"REED'S, INC.  (REED)  D&D Source of Life Holding Ltd. "
SCHEDULE 13G/A (Schedule filed by certain investors to report beneficial ownership of more than 5% of a class of equity securities) ,2024-12-06,"SharkNinja, Inc.  (SN)  FMR LLC "
SC 13G/A (Beneficial ownership report) ,2024-12-06,"ALPHATIME ACQUISITION CORP  (ATMC, ATMCR, ATMCU, ATMCW)  Karpus Management, Inc. "
SC 13G/A (Beneficial ownership report) ,2024-12-06,"STERLING INFRASTRUCTURE, INC.  (STRL)  BlackRock, Inc. "
SC 13G/A (Beneficial ownership report) ,2024-12-06,US Foods Holding Corp.  (USFD)  VANGUARD GROUP INC 
SC 13G (Beneficial ownership report) ,2024-12-06,"Sound Point Meridian Capital, Inc.  (SPMA, SPMC)  Karpus Management, Inc. "
SC 13G/A (Beneficial ownership report) ,2024-12-06,FIRST TRUST EXCHANGE-TRADED FUND VIII  FIRST TRUST PORTFOLIOS LP 
SC 13G (Beneficial ownership report) ,2024-12-06,"Payoneer Global Inc.  (PAYO)  BlackRock, Inc. "
SC 13G/A (Beneficial ownership report) ,2024-12-06,"BlackRock ETF Trust  BlackRock, Inc. "
SC 13G (Beneficial ownership report) ,2024-12-06,"BNY MELLON MUNICIPAL INCOME, INC.  (DMF)  Karpus Management, Inc. "
SC 13G (Beneficial ownership report) ,2024-12-06,"AA Mission Acquisition Corp.  (AAM, AAM-UN, AAM-WT)  Karpus Management, Inc. "
SC 13G/A (Beneficial ownership report) ,2024-12-06,"Azenta, Inc.  (AZTA)  BlackRock, Inc. "
SC 13G/A (Beneficial ownership report) ,2024-12-06,"F5, INC.  (FFIV)  BlackRock, Inc. "
SCHEDULE 13G/A (Schedule filed by certain investors to report beneficial ownership of more than 5% of a class of equity securities) ,2024-12-06,"Annexon, Inc.  (ANNX)  FMR LLC "
SCHEDULE 13G/A (Schedule filed by certain investors to report beneficial ownership of more than 5% of a class of equity securities) ,2024-12-06,"Tango Therapeutics, Inc.  (TNGX)  FMR LLC "
SC 13D/A (Beneficial ownership report) ,2024-12-06,"abrdn Total Dynamic Dividend Fund  (AOD)  Saba Capital Management, L.P. "
SC 13D/A (Beneficial ownership report) ,2024-12-06,Akari Therapeutics Plc  (AKTX)  Patel Samir Rashmikant 
SC 13G/A (Beneficial ownership report) ,2024-12-06,"Cboe Global Markets, Inc.  (CBOE)  BlackRock, Inc. "
